Rank,College Name,Course,Alloted Category,Round,Year,College Category
669,"TVM : Govt. Medical College, Thiruvananthapuram.",MBBS,SM EZ,Round 3,2024,Government
670,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2024,Government
670,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2025,Government
671,"KTM : Govt. Medical College, Kottayam.",MBBS,SM MU,Round 3,2024,Government
671,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 2,2025,Government
672,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2024,Government
672,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM LA,Round 3,2025,Government
673,"KLM : Govt. Medical College, Parippally, Kollam.",MBBS,SM,Round 1,2024,Government
673,"KTM : Govt. Medical College, Kottayam.",MBBS,SM MU,Round 3,2025,Government
674,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2024,Government
674,"MLP : Govt. Medical College, Manjeri.",MBBS,SM,Round 3,2025,Government
675,"TCM : Govt. Medical College, Thrissur.",MBBS,SM MU,Round 3,2024,Government
675,KNM : Government Medical College Kannur.,MBBS,SM,Round 2,2025,Government
676,"KTM : Govt. Medical College, Kottayam.",MBBS,SM MU,Round 3,2024,Government
676,"MLP : Govt. Medical College, Manjeri.",MBBS,SM,Round 3,2025,Government
677,"TCM : Govt. Medical College, Thrissur.",MBBS,SM EZ,Round 1,2024,Government
677,"KTM : Govt. Medical College, Kottayam.",MBBS,SM EZ,Round 3,2025,Government
678,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2024,Government
678,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2025,Government
679,"TCM : Govt. Medical College, Thrissur.",MBBS,SM EZ,Round 3,2024,Government
679,"TCM : Govt. Medical College, Thrissur.",MBBS,SM EZ,Round 3,2025,Government
680,"TCM : Govt. Medical College, Thrissur.",MBBS,SM MU,Round 3,2024,Government
680,KNM : Government Medical College Kannur.,MBBS,SM,Round 3,2025,Government
681,"TVM : Govt. Medical College, Thiruvananthapuram.",MBBS,SM LA,Round 3,2024,Government
681,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2025,Government
682,"KLM : Govt. Medical College, Parippally, Kollam.",MBBS,SM,Round 1,2024,Government
682,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2025,Government
683,"TCM : Govt. Medical College, Thrissur.",MBBS,SM EZ,Round 3,2024,Government
683,"MLP : Govt. Medical College, Manjeri.",MBBS,SM,Round 3,2025,Government
684,"TCM : Govt. Medical College, Thrissur.",MBBS,SM MU,Round 3,2024,Government
684,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2025,Government
685,"KTM : Govt. Medical College, Kottayam.",MBBS,SM MU,Round 3,2024,Government
685,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2025,Government
686,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM BH,Round 3,2024,Government
686,"MLP : Govt. Medical College, Manjeri.",MBBS,SM,Round 3,2025,Government
687,"TCM : Govt. Medical College, Thrissur.",MBBS,SM MU,Round 3,2024,Government
687,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2025,Government
688,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 2,2024,Government
688,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2025,Government
689,"MLP : Govt. Medical College, Manjeri.",MBBS,SM,Round 3,2024,Government
689,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2025,Government
690,"TVM : Govt. Medical College, Thiruvananthapuram.",MBBS,SM EZ,Round 3,2024,Government
690,"TVM : Govt. Medical College, Thiruvananthapuram.",MBBS,SM BH,Round 3,2025,Government
691,"TCM : Govt. Medical College, Thrissur.",MBBS,SM MU,Round 3,2024,Government
691,KNM : Government Medical College Kannur.,MBBS,SM,Round 3,2025,Government
692,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2024,Government
693,"MLP : Govt. Medical College, Manjeri.",MBBS,SM,Round 3,2025,Government
694,"MLP : Govt. Medical College, Manjeri.",MBBS,SM,Round 3,2025,Government
695,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 2,2024,Government
695,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 2,2025,Government
696,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2024,Government
696,"CMC : Govt. Medical College, Ernakulam.",MBBS,SM,Round 3,2025,Government
697,"KTM : Govt. Medical College, Kottayam.",MBBS,SM EW,Round 3,2024,Government
697,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2025,Government
698,"KTM : Govt. Medical College, Kottayam.",MBBS,SM EZ,Round 3,2024,Government
698,"JMC : Jubilee Mission Medical College, Thrisur.",MBBS,AM,Round 1,2025,Private
699,"CMC : Govt. Medical College, Ernakulam.",MBBS,SM,Round 1,2024,Government
699,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2025,Government
700,"TVM : Govt. Medical College, Thiruvananthapuram.",MBBS,SM EW,Round 1,2024,Government
700,"MLP : Govt. Medical College, Manjeri.",MBBS,SM,Round 3,2025,Government
701,"MLP : Govt. Medical College, Manjeri.",MBBS,SM,Round 3,2025,Government
702,"TVM : Govt. Medical College, Thiruvananthapuram.",MBBS,SM BH,Round 3,2024,Government
702,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2025,Government
703,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 2,2024,Government
703,"TCM : Govt. Medical College, Thrissur.",MBBS,SM EZ,Round 3,2025,Government
704,"CMC : Govt. Medical College, Ernakulam.",MBBS,SM,Round 1,2024,Government
704,"MLP : Govt. Medical College, Manjeri.",MBBS,SM,Round 3,2025,Government
705,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM LA,Round 3,2024,Government
705,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 2,2025,Government
706,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM LA,Round 3,2024,Government
706,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM EW,Round 3,2025,Government
707,"ALP : T D Govt. Medical College, Alappuzha",MBBS,XS,Round 1,2024,Government
707,"MLP : Govt. Medical College, Manjeri.",MBBS,SM,Round 3,2025,Government
708,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2024,Government
709,"CMC : Govt. Medical College, Ernakulam.",MBBS,SM,Round 1,2024,Government
709,"TCM : Govt. Medical College, Thrissur.",MBBS,XS,Round 3,2025,Government
710,KNM : Government Medical College Kannur.,MBBS,SM,Round 3,2024,Government
710,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM EW,Round 3,2025,Government
711,"CMC : Govt. Medical College, Ernakulam.",MBBS,SM,Round 2,2024,Government
711,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 2,2025,Government
712,"CMC : Govt. Medical College, Ernakulam.",MBBS,SM,Round 1,2024,Government
712,"KTM : Govt. Medical College, Kottayam.",MBBS,SM EZ,Round 3,2025,Government
713,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2024,Government
713,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 2,2025,Government
714,"KTM : Govt. Medical College, Kottayam.",MBBS,SM MU,Round 3,2024,Government
714,"KTM : Govt. Medical College, Kottayam.",MBBS,SM EZ,Round 2,2025,Government
715,"MLP : Govt. Medical College, Manjeri.",MBBS,SM,Round 1,2024,Government
715,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 2,2025,Government
716,"KTM : Govt. Medical College, Kottayam.",MBBS,SM MU,Round 3,2024,Government
716,"MLP : Govt. Medical College, Manjeri.",MBBS,SM,Round 3,2025,Government
717,"CMC : Govt. Medical College, Ernakulam.",MBBS,SM,Round 1,2024,Government
718,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2024,Government
718,"CMC : Govt. Medical College, Ernakulam.",MBBS,SM,Round 3,2025,Government
719,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2024,Government
719,KNM : Government Medical College Kannur.,MBBS,SM,Round 3,2025,Government
720,"MLP : Govt. Medical College, Manjeri.",MBBS,SM,Round 3,2024,Government
720,"KTM : Govt. Medical College, Kottayam.",MBBS,SM EZ,Round 3,2025,Government
721,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2024,Government
721,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2025,Government
722,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2024,Government
722,"TCM : Govt. Medical College, Thrissur.",MBBS,SM EZ,Round 3,2025,Government
723,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2024,Government
723,"CMC : Govt. Medical College, Ernakulam.",MBBS,SM,Round 2,2025,Government
724,"MLP : Govt. Medical College, Manjeri.",MBBS,SM,Round 1,2024,Government
724,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2025,Government
725,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2024,Government
725,"MLP : Govt. Medical College, Manjeri.",MBBS,SM,Round 3,2025,Government
726,"TCM : Govt. Medical College, Thrissur.",MBBS,SM EZ,Round 3,2024,Government
726,"MLP : Govt. Medical College, Manjeri.",MBBS,SM,Round 3,2025,Government
727,"TVM : Govt. Medical College, Thiruvananthapuram.",MBBS,SM EW,Round 3,2024,Government
727,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2025,Government
728,"CMC : Govt. Medical College, Ernakulam.",MBBS,SM,Round 3,2024,Government
728,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 2,2025,Government
729,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2024,Government
730,"CMC : Govt. Medical College, Ernakulam.",MBBS,SM,Round 1,2024,Government
730,"MLP : Govt. Medical College, Manjeri.",MBBS,SM,Round 3,2025,Government
731,"MLP : Govt. Medical College, Manjeri.",MBBS,SM,Round 3,2024,Government
731,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2025,Government
732,"TCM : Govt. Medical College, Thrissur.",MBBS,SM BH,Round 3,2025,Government
733,"TCM : Govt. Medical College, Thrissur.",MBBS,SM EZ,Round 3,2024,Government
733,"KTM : Govt. Medical College, Kottayam.",MBBS,SM EZ,Round 3,2025,Government
734,"KTM : Govt. Medical College, Kottayam.",MBBS,SM EZ,Round 3,2024,Government
734,"MLP : Govt. Medical College, Manjeri.",MBBS,SM,Round 3,2025,Government
735,"TVM : Govt. Medical College, Thiruvananthapuram.",MBBS,SM EW,Round 3,2024,Government
735,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2025,Government
736,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2024,Government
736,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2025,Government
737,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2025,Government
738,KNM : Government Medical College Kannur.,MBBS,SM,Round 3,2024,Government
738,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 2,2025,Government
739,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2024,Government
739,"CMC : Govt. Medical College, Ernakulam.",MBBS,SM,Round 3,2025,Government
740,"CMC : Govt. Medical College, Ernakulam.",MBBS,SM,Round 1,2024,Government
740,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2025,Government
741,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2024,Government
741,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 2,2025,Government
742,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2024,Government
742,"KTM : Govt. Medical College, Kottayam.",MBBS,SM BH,Round 3,2025,Government
743,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2024,Government
743,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2025,Government
744,"KTM : Govt. Medical College, Kottayam.",MBBS,SM MU,Round 3,2024,Government
744,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2025,Government
745,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2024,Government
745,"TCM : Govt. Medical College, Thrissur.",MBBS,SM EZ,Round 3,2025,Government
746,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2024,Government
746,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2025,Government
747,"KTM : Govt. Medical College, Kottayam.",MBBS,SM EZ,Round 3,2024,Government
747,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2025,Government
748,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2025,Government
749,"TCM : Govt. Medical College, Thrissur.",MBBS,SM EZ,Round 3,2024,Government
749,"MLP : Govt. Medical College, Manjeri.",MBBS,SM,Round 2,2025,Government
750,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2024,Government
751,"MLP : Govt. Medical College, Manjeri.",MBBS,SM,Round 2,2025,Government
752,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2024,Government
752,"KTM : Govt. Medical College, Kottayam.",MBBS,SM BH,Round 3,2025,Government
753,"MLP : Govt. Medical College, Manjeri.",MBBS,SM,Round 3,2025,Government
754,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2024,Government
754,"CMC : Govt. Medical College, Ernakulam.",MBBS,SM,Round 3,2025,Government
755,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM EW,Round 3,2025,Government
756,"TVM : Govt. Medical College, Thiruvananthapuram.",MBBS,SM LA,Round 3,2025,Government
757,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2025,Government
758,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2024,Government
758,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2025,Government
759,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2024,Government
759,"MLP : Govt. Medical College, Manjeri.",MBBS,SM,Round 3,2025,Government
760,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2024,Government
760,"TVM : Govt. Medical College, Thiruvananthapuram.",MBBS,SM VK,Round 3,2025,Government
761,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2024,Government
761,"CMC : Govt. Medical College, Ernakulam.",MBBS,MU,Round 1,2025,Government
762,"CMC : Govt. Medical College, Ernakulam.",MBBS,MU,Round 1,2025,Government
763,"KTM : Govt. Medical College, Kottayam.",MBBS,SM EZ,Round 3,2024,Government
764,"KTM : Govt. Medical College, Kottayam.",MBBS,SM VK,Round 3,2025,Government
765,"CMC : Govt. Medical College, Ernakulam.",MBBS,SM,Round 3,2024,Government
765,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2025,Government
766,"KTM : Govt. Medical College, Kottayam.",MBBS,SM EZ,Round 3,2024,Government
766,"TCM : Govt. Medical College, Thrissur.",MBBS,SM BH,Round 3,2025,Government
767,"CMC : Govt. Medical College, Ernakulam.",MBBS,SM,Round 2,2024,Government
767,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2025,Government
768,"KTM : Govt. Medical College, Kottayam.",MBBS,SM EZ,Round 3,2024,Government
768,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2025,Government
769,"KTM : Govt. Medical College, Kottayam.",MBBS,SM EZ,Round 3,2024,Government
769,"TCM : Govt. Medical College, Thrissur.",MBBS,SM EZ,Round 3,2025,Government
770,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2024,Government
770,KNM : Government Medical College Kannur.,MBBS,MU,Round 1,2025,Government
771,"MLP : Govt. Medical College, Manjeri.",MBBS,SM,Round 3,2024,Government
771,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2025,Government
772,"KTM : Govt. Medical College, Kottayam.",MBBS,SM EZ,Round 3,2024,Government
772,"KTM : Govt. Medical College, Kottayam.",MBBS,SM EW,Round 3,2025,Government
773,"MLP : Govt. Medical College, Manjeri.",MBBS,SM,Round 3,2024,Government
773,"KTM : Govt. Medical College, Kottayam.",MBBS,SM BH,Round 3,2025,Government
774,"KTM : Govt. Medical College, Kottayam.",MBBS,SM EZ,Round 3,2024,Government
774,"MLP : Govt. Medical College, Manjeri.",MBBS,SM,Round 3,2025,Government
775,"CMC : Govt. Medical College, Ernakulam.",MBBS,SM,Round 3,2024,Government
775,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2025,Government
776,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2024,Government
776,"MLP : Govt. Medical College, Manjeri.",MBBS,SM,Round 3,2025,Government
777,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2024,Government
778,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2024,Government
778,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2025,Government
779,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2024,Government
779,KNM : Government Medical College Kannur.,MBBS,SM,Round 2,2025,Government
780,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2024,Government
780,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2025,Government
781,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2024,Government
781,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM EW,Round 3,2025,Government
782,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2024,Government
782,KNM : Government Medical College Kannur.,MBBS,SM,Round 3,2025,Government
783,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2024,Government
783,"MLP : Govt. Medical College, Manjeri.",MBBS,SM,Round 3,2025,Government
784,"CMC : Govt. Medical College, Ernakulam.",MBBS,MU,Round 1,2024,Government
784,"MLP : Govt. Medical College, Manjeri.",MBBS,SM,Round 3,2025,Government
785,"CMC : Govt. Medical College, Ernakulam.",MBBS,SM,Round 3,2024,Government
786,KNM : Government Medical College Kannur.,MBBS,SM,Round 3,2024,Government
786,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2025,Government
787,"KTM : Govt. Medical College, Kottayam.",MBBS,SM EZ,Round 3,2024,Government
787,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2025,Government
788,"MLP : Govt. Medical College, Manjeri.",MBBS,SM,Round 3,2024,Government
788,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2025,Government
789,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2024,Government
789,"TVM : Govt. Medical College, Thiruvananthapuram.",MBBS,SM LA,Round 3,2025,Government
790,"MLP : Govt. Medical College, Manjeri.",MBBS,SM,Round 3,2024,Government
790,"MLP : Govt. Medical College, Manjeri.",MBBS,FL MU,Round 1,2025,Government
791,"MLP : Govt. Medical College, Manjeri.",MBBS,MU,Round 1,2024,Government
791,"TCM : Govt. Medical College, Thrissur.",MBBS,SM EZ,Round 3,2025,Government
792,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM EW,Round 3,2024,Government
792,KNM : Government Medical College Kannur.,MBBS,FL MU,Round 1,2025,Government
793,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 2,2024,Government
793,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2025,Government
794,"TCM : Govt. Medical College, Thrissur.",MBBS,SM EZ,Round 3,2024,Government
794,"TCM : Govt. Medical College, Thrissur.",MBBS,SM EZ,Round 3,2025,Government
795,"TVM : Govt. Medical College, Thiruvananthapuram.",MBBS,SM BX,Round 3,2024,Government
795,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM LA,Round 3,2025,Government
796,"KTM : Govt. Medical College, Kottayam.",MBBS,SM EZ,Round 3,2024,Government
796,"MLP : Govt. Medical College, Manjeri.",MBBS,SM,Round 3,2025,Government
797,"TCM : Govt. Medical College, Thrissur.",MBBS,SM EZ,Round 3,2024,Government
797,"TCM : Govt. Medical College, Thrissur.",MBBS,SM BH,Round 3,2025,Government
798,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 2,2024,Government
798,"CMC : Govt. Medical College, Ernakulam.",MBBS,SM,Round 3,2025,Government
799,"TCM : Govt. Medical College, Thrissur.",MBBS,XS,Round 3,2024,Government
799,"KTM : Govt. Medical College, Kottayam.",MBBS,SM BH,Round 3,2025,Government
800,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2024,Government
800,KNM : Government Medical College Kannur.,MBBS,FL MU,Round 1,2025,Government
801,"MLP : Govt. Medical College, Manjeri.",MBBS,SM,Round 3,2024,Government
801,"MLP : Govt. Medical College, Manjeri.",MBBS,SM,Round 3,2025,Government
802,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2024,Government
802,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2025,Government
803,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2024,Government
804,"KTM : Govt. Medical College, Kottayam.",MBBS,SM EZ,Round 3,2024,Government
804,"CMC : Govt. Medical College, Ernakulam.",MBBS,SM,Round 3,2025,Government
805,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2025,Government
806,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2024,Government
806,KNM : Government Medical College Kannur.,MBBS,FL MU,Round 1,2025,Government
807,"JMC : Jubilee Mission Medical College, Thrisur.",MBBS,AM,Round 1,2024,Private
807,"MLP : Govt. Medical College, Manjeri.",MBBS,SM,Round 2,2025,Government
808,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2024,Government
808,"GMC : Sree Gokulam Medical College, Venjaramoodu, TVPM.",MBBS,AM,Round 1,2025,Private
809,KNM : Government Medical College Kannur.,MBBS,SM,Round 3,2024,Government
809,"CMC : Govt. Medical College, Ernakulam.",MBBS,SM,Round 3,2025,Government
810,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2024,Government
811,"TCM : Govt. Medical College, Thrissur.",MBBS,SM EZ,Round 3,2024,Government
811,"TVM : Govt. Medical College, Thiruvananthapuram.",MBBS,SM EW,Round 3,2025,Government
812,"KLM : Govt. Medical College, Parippally, Kollam.",MBBS,MU,Round 1,2024,Government
812,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2025,Government
813,KNM : Government Medical College Kannur.,MBBS,SM,Round 2,2024,Government
813,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2025,Government
814,KNM : Government Medical College Kannur.,MBBS,SM,Round 3,2025,Government
815,KNM : Government Medical College Kannur.,MBBS,SM,Round 3,2024,Government
815,"KTM : Govt. Medical College, Kottayam.",MBBS,SM EZ,Round 3,2025,Government
816,"TVM : Govt. Medical College, Thiruvananthapuram.",MBBS,SM EW,Round 3,2024,Government
816,KNM : Government Medical College Kannur.,MBBS,SM,Round 3,2025,Government
817,"MLP : Govt. Medical College, Manjeri.",MBBS,SM,Round 3,2024,Government
817,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2025,Government
818,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM EW,Round 3,2025,Government
819,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2024,Government
819,"MLP : Govt. Medical College, Manjeri.",MBBS,SM,Round 3,2025,Government
820,"MLP : Govt. Medical College, Manjeri.",MBBS,SM,Round 3,2024,Government
820,"KTM : Govt. Medical College, Kottayam.",MBBS,SM VK,Round 3,2025,Government
821,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2024,Government
821,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2025,Government
822,"MLP : Govt. Medical College, Manjeri.",MBBS,SM,Round 2,2024,Government
822,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2025,Government
823,"TVM : Govt. Medical College, Thiruvananthapuram.",MBBS,SM BH,Round 3,2024,Government
823,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2025,Government
824,"TCM : Govt. Medical College, Thrissur.",MBBS,SM EZ,Round 3,2024,Government
824,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2025,Government
825,"CMC : Govt. Medical College, Ernakulam.",MBBS,SM,Round 2,2024,Government
825,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2025,Government
826,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2024,Government
826,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2025,Government
827,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2024,Government
828,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM EW,Round 3,2024,Government
828,"CMC : Govt. Medical College, Ernakulam.",MBBS,SM,Round 3,2025,Government
829,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2024,Government
829,"MLP : Govt. Medical College, Manjeri.",MBBS,SM,Round 3,2025,Government
830,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2024,Government
830,"MLP : Govt. Medical College, Manjeri.",MBBS,SM,Round 3,2025,Government
831,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2024,Government
831,"KKM : Govt. Medical College, Kozhikkode.",MBBS,SM EW,Round 3,2025,Government
832,"KLM : Govt. Medical College, Parippally, Kollam.",MBBS,SM,Round 3,2024,Government
832,KNM : Government Medical College Kannur.,MBBS,SM,Round 3,2025,Government
833,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2024,Government
833,KNM : Government Medical College Kannur.,MBBS,SM,Round 3,2025,Government
834,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2024,Government
834,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2025,Government
835,"CMC : Govt. Medical College, Ernakulam.",MBBS,SM,Round 2,2024,Government
835,KNM : Government Medical College Kannur.,MBBS,FL MU,Round 1,2025,Government
837,"MLP : Govt. Medical College, Manjeri.",MBBS,SM,Round 3,2024,Government
838,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2024,Government
838,"MLP : Govt. Medical College, Manjeri.",MBBS,SM,Round 3,2025,Government
839,"TVM : Govt. Medical College, Thiruvananthapuram.",MBBS,SM BH,Round 3,2024,Government
839,"MLP : Govt. Medical College, Manjeri.",MBBS,SM,Round 3,2025,Government
840,KNM : Government Medical College Kannur.,MBBS,SM,Round 2,2025,Government
841,"ALP : T D Govt. Medical College, Alappuzha",MBBS,SM,Round 3,2024,Government
841,"CMC : Govt. Medical College, Ernakulam.",MBBS,SM,Round 3,2025,Government
842,"MLP : Govt. Medical College, Manjeri.",MBBS,SM,Round 3,2024,Government
842,"MLP : Govt. Medical College, Manjeri.",MBBS,SM,Round 3,2025,Government
843,"MLP : Govt. Medical College, Manjeri.",MBBS,SM,Round 3,2024,Government
843,"KLM : Govt. Medical College, Parippally, Kollam.",MBBS,SM,Round 2,2025,Government
844,"KLM : Govt. Medical College, Parippally, Kollam.",MBBS,SM,Round 2,2024,Government
